"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что при попытке входа с пустым паролем отображается соответствующее сообщение об ошибке.","460","checkLoginWithEmptyPassword","Surefire suite","Mon Jun 16 16:50:31 GMT 2025","passed","Mon Jun 16 16:50:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверяет, что после добавления товара в корзину его стоимость отображается корректно","723","checkAddedProductsPrice","Surefire suite","Mon Jun 16 16:50:04 GMT 2025","passed","Mon Jun 16 16:50:05 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkAddedProductsPrice"
"Проверяет, что добавленные товары корректно отображаются в корзине","1115","checkAddedProducts","Surefire suite","Mon Jun 16 16:50:02 GMT 2025","passed","Mon Jun 16 16:50:03 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkAddedProducts"
"Проверяет, что кнопка 'Remove' на странице деталей товара корректно удаляет товар из корзины.","10923","checkRemoveButtonFromDetailsPage","Surefire suite","Mon Jun 16 16:50:38 GMT 2025","passed","Mon Jun 16 16:50:49 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkRemoveButtonFromDetailsPage"
"Проверяет, что при корректном вводе имени, фамилии и почтового индекса пользователь переходит на шаг 'Checkout: Overview'","838","verifySuccessCheckout","Surefire suite","Mon Jun 16 16:50:26 GMT 2025","passed","Mon Jun 16 16:50:26 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifySuccessCheckout"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'First Name' отображается корректное сообщение об ошибке","818","verifyCheckoutWithEmptyFirstNameField","Surefire suite","Mon Jun 16 16:50:22 GMT 2025","passed","Mon Jun 16 16:50:23 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyFirstNameField"
"Проверяет, что при нажатии на бургер-меню в корзине оно успешно открывается","1115","checkOpenBurgerMenu","Surefire suite","Mon Jun 16 16:50:55 GMT 2025","passed","Mon Jun 16 16:50:56 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkOpenBurgerMenu"
"Проверяет, что количество товаров, добавленных в корзину, отображается корректно","712","checkNumberAddedProducts","Surefire suite","Mon Jun 16 16:50:06 GMT 2025","passed","Mon Jun 16 16:50:07 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkNumberAddedProducts"
"Проверяет, что при нажатии кнопки 'Logout' в бургер-меню происходит логаут","1163","checkLogoutButtonFromBurgerMenu","Surefire suite","Mon Jun 16 16:50:53 GMT 2025","passed","Mon Jun 16 16:50:54 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkLogoutButtonFromBurgerMenu"
"Проверяет, что при нажатии кнопки 'X' в бургер-меню оно закрывается","1640","checkCloseBurgerMenu","Surefire suite","Mon Jun 16 16:50:51 GMT 2025","passed","Mon Jun 16 16:50:53 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkCloseBurgerMenu"
"Проверяет, что товары, удаленные на странице продуктов, не отображаются в корзине","928","checkRemoveProducts","Surefire suite","Mon Jun 16 16:50:28 GMT 2025","passed","Mon Jun 16 16:50:29 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkRemoveProducts"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'Last Name' отображается корректное сообщение об ошибке","821","verifyCheckoutWithEmptyLastNameField","Surefire suite","Mon Jun 16 16:50:23 GMT 2025","passed","Mon Jun 16 16:50:24 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyLastNameField"
"Проверяет, что на первом шаге оформления заказа кнопка 'Cancel' возвращает пользователя в корзину.","683","checkCancelButtonCheckoutStepOne","Surefire suite","Mon Jun 16 16:50:13 GMT 2025","passed","Mon Jun 16 16:50:13 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelButtonCheckoutStepOne"
"Проверяет, что при корректном вводе имени, и пароля происходит авторизация.","516","checkSuccessLogin","Surefire suite","Mon Jun 16 16:50:34 GMT 2025","passed","Mon Jun 16 16:50:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверяет, что после удаления одного из товаров из корзины,количество товаров уменьшается корректно","2105","checkRemoveProducts","Surefire suite","Mon Jun 16 16:50:07 GMT 2025","passed","Mon Jun 16 16:50:10 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProducts"
"Проверяет, что при попытке продолжить оформление заказа с пустым полем 'Postal Code' отображается корректное сообщение об ошибке","812","verifyCheckoutWithEmptyPostalCodeField","Surefire suite","Mon Jun 16 16:50:24 GMT 2025","passed","Mon Jun 16 16:50:25 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","verifyCheckoutWithEmptyPostalCodeField"
"Проверяет, что страница подробного описания товара успешно открывается и отображает форму с деталями.","638","checkOpenProductDetailPageSuccess","Surefire suite","Mon Jun 16 16:50:37 GMT 2025","passed","Mon Jun 16 16:50:38 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkOpenProductDetailPageSuccess"
"Проверяет, что кнопка 'Add to cart' на странице деталей товара корректно добавляет товар в корзину.","779","checkAddToCartButtonFromDetailsPage","Surefire suite","Mon Jun 16 16:50:35 GMT 2025","passed","Mon Jun 16 16:50:35 GMT 2025","tests.ProductsDetailTest","Surefire test","tests.ProductsDetailTest","checkAddToCartButtonFromDetailsPage"
"Проверяет, что кнопка 'Finish' на втором шаге оформления заказа завершает процесс и переводит на страницу подтверждения заказа.","904","checkFinishButton","Surefire suite","Mon Jun 16 16:50:15 GMT 2025","passed","Mon Jun 16 16:50:16 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkFinishButton"
"Проверяет, что после завершения заказа кнопка 'Back Home' возвращает пользователя на страницу с товарами.","999","checkBackHomeButton","Surefire suite","Mon Jun 16 16:50:11 GMT 2025","passed","Mon Jun 16 16:50:12 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkBackHomeButton"
"Проверяет корректность расчёта итоговой суммы заказа на этапе оформления покупки, включая товары и налог.","1013","checkTotalPrice","Surefire suite","Mon Jun 16 16:50:19 GMT 2025","passed","Mon Jun 16 16:50:20 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkTotalPrice"
"Проверяет, что кнопка 'Continue Shopping' на странице корзины корректно возвращает пользователя на страницу товаров","800","checkContinueShoppingButton","Surefire suite","Mon Jun 16 16:50:05 GMT 2025","passed","Mon Jun 16 16:50:06 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueShoppingButton"
"Проверяет, что итоговая сумма стоимости выбранных товаров совпадает с отображаемой на шаге оформления заказа","964","checkProductsTotalPrice","Surefire suite","Mon Jun 16 16:50:16 GMT 2025","passed","Mon Jun 16 16:50:17 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkProductsTotalPrice"
"Проверяет, что при нажатии кнопки All Items' в бургер-меню открывается страница товаров","1257","checkAllItemsButtonFromBurgerMenu","Surefire suite","Mon Jun 16 16:50:49 GMT 2025","passed","Mon Jun 16 16:50:51 GMT 2025","tests.NavigationModuleTest","Surefire test","tests.NavigationModuleTest","checkAllItemsButtonFromBurgerMenu"
"Проверяет, что сумма налога на шаге оформления заказа рассчитывается корректно от общей стоимости товаров","968","checkTaxPrice","Surefire suite","Mon Jun 16 16:50:18 GMT 2025","passed","Mon Jun 16 16:50:19 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkTaxPrice"
"Проверяет, что кнопка 'Checkout' на странице корзины корректно перенаправляет на шаг оформления заказа","805","verifyCheckoutButton","Surefire suite","Mon Jun 16 16:50:10 GMT 2025","passed","Mon Jun 16 16:50:11 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","verifyCheckoutButton"
"Проверяет, что сортировка товаров по имени или стоимости работает корректно.","1199","sortProductsCheck","Surefire suite","Mon Jun 16 16:50:29 GMT 2025","passed","Mon Jun 16 16:50:31 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","sortProductsCheck"
"Проверяет, что при попытке входа с неверным паролем отображается соответствующее сообщение об ошибке.","471","checkLoginWithWrongPassword","Surefire suite","Mon Jun 16 16:50:32 GMT 2025","passed","Mon Jun 16 16:50:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
